ID,Weight,Length,Width,Height,UOM Code,Fit ratio
3258,88,300,200,10,EA,100
3259,103,300,200,10,EA,100
3260,110,300,200,10,EA,100
3261,121,300,200,10,EA,100
3262,92,300,200,10,EA,100
3263,100,300,200,10,EA,100
3264,110,300,200,10,EA,100
3265,118,300,200,10,EA,100
3266,93,300,200,10,EA,100
3267,100,300,200,10,EA,100
3268,111,300,200,10,EA,100
3269,118,300,200,10,EA,100
3270,120,220,190,30,EA,100
3271,130,220,190,30,EA,100
3272,130,220,190,30,EA,100
3273,150,220,190,30,EA,100
3274,160,220,190,30,EA,100
3275,170,220,200,40,EA,100
3276,190,220,200,40,EA,100
3277,200,220,200,40,EA,100
3278,150,230,180,30,EA,100
3279,190,230,180,30,EA,100
3280,40,150,130,20,EA,100
3281,40,150,130,20,EA,100
3282,50,150,130,20,EA,100
3283,190,220,170,30,EA,100
3284,210,200,250,40,EA,100
3285,230,200,250,40,EA,100
3286,240,240,180,50,EA,100
3287,260,240,180,50,EA,100
3288,280,240,180,50,EA,100
3289,300,240,180,50,EA,100
3290,320,240,180,50,EA,100
3291,210,280,200,30,EA,100
3292,220,280,200,30,EA,100
3293,240,280,200,30,EA,100
3294,260,280,200,30,EA,100
3295,70,150,150,30,EA,100
3296,80,150,150,30,EA,100
3297,80,150,150,30,EA,100
3298,90,150,150,30,EA,100
3299,120,200,180,30,EA,100
3300,120,200,180,30,EA,100
3301,130,200,180,30,EA,100
3302,150,200,180,30,EA,100
3303,160,200,180,30,EA,100
3304,100,220,180,30,EA,100
3305,120,220,180,30,EA,100
3306,130,220,180,30,EA,100
3307,140,220,180,30,EA,100
3308,140,300,200,30,EA,100
3309,110,220,190,30,EA,100
3310,140,220,200,40,EA,100
3311,140,230,180,30,EA,100
3312,230,240,180,50,EA,100
3313,180,280,200,30,EA,100
3314,60,150,150,30,EA,100
3315,110,200,180,30,EA,100
3316,140,200,200,30,EA,100
3317,150,200,200,25,EA,100
3318,170,200,220,30,EA,100
3319,180,200,200,20,EA,100
3320,210,200,200,40,EA,100
3321,40,170,90,30,EA,100
3322,50,170,100,30,EA,100
3323,50,170,110,30,EA,100
3324,130,250,200,20,EA,100
3325,140,250,200,20,EA,100
3326,160,250,200,20,EA,100
3327,190,250,200,20,EA,100
3328,210,250,200,20,EA,100
3329,240,250,200,20,EA,100
3330,250,250,200,20,EA,100
3331,280,250,200,20,EA,100
3332,170,250,200,20,EA,100
3333,180,250,200,20,EA,100
3334,200,250,200,20,EA,100
3335,220,250,200,20,EA,100
3336,220,250,200,20,EA,100
3337,250,250,260,20,EA,100
3338,260,250,200,20,EA,100
3339,280,250,200,20,EA,100
3340,300,250,200,20,EA,100
3341,160,250,200,20,EA,100
3342,170,250,200,20,EA,100
3343,190,250,200,20,EA,100
3344,210,250,200,20,EA,100
3345,240,250,200,20,EA,100
3346,240,250,200,20,EA,100
3347,250,250,200,20,EA,100
